NHTSACampaignNumber,ReportReceivedDate,Make,Model,ModelYear,Component,parkIt,parkOutSide,overTheAirUpdate,Summary,Consequence,Remedy,Notes,Manufacturer
22V123000,03/03/2022,HYUNDAI,ELANTRA,2022,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2022 Elantra and Elantra HEV vehicles.  In the event of a crash, the front passenger-side seat belt pretensioner may explode upon deployment.","An exploding seat belt pretensioner can project metal fragments into the vehicle, striking vehicle occupants and resulting in injury.","Dealers will replace the seat belt pretensioners, free of charge.  Owner notification letters were mailed May 19, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 220.  This recall is an expansion of NHTSA recall numbers 21V-796 and 22V-069.  This recall is replaced by NHTSA recall number 22V-354.  Vehicles already repaired under this recall will need to have the new remedy completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V218000,01/04/2022,HYUNDAI,ELANTRA,2022,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Elantra and 2020 Accent vehicles.  In the event of a crash, the front driver and passenger-side seat belt pretensioners may explode upon deployment.","Exploding seat belt pretensioners can project metal fragments into the vehicle, strike vehicle occupants, and result in injury.","Dealers will replace the seat belt pretensioners, free of charge.  Interim notification letters, notifying owners of the safety risk, were mailed on May 31, 2022. A second notice will be sent once remedy parts become available.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 223.  This recall is replaced by NHTSA recall number 22V-354.  Vehicles already repaired under this recall will need to have the new remedy completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V354000,19/05/2022,HYUNDAI,ELANTRA,2022,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2022 Accent, 2021-2022 Elantra, and 2021-2022 Elantra HEV vehicles.   In the event of a crash, the front driver-side and/or passenger-side seat belt pretensioners may explode upon deployment.","An exploding seat belt pretensioner can project metal fragments into the vehicle, strike vehicle occupants, and result in injury.","Dealers will secure the seat belt pretensioner(s) with a cap, free of charge.  Owner notification letters were mailed August 28, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 229.  This recall expands and replaces NHTSA recall numbers 21V-796, 22V-069, 22V-218, and 22V-123 for Accent, Elantra, and Elantra HEV vehicles.  All Accent, Elantra, and Elantra HEV vehicles already repaired under the previous recalls will need to have the new remedy completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V632000,18/08/2022,HYUNDAI,ELANTRA,2022,AIR BAGS:FRONTAL,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2022 Elantra N and 2022-2023 Elantra vehicles.  The emblem on the cover of the driver's front air bag may not have been welded properly, which can result in the emblem detaching upon deployment.","A detached air bag cover emblem may strike a vehicle occupant, which can increase the risk of injury.","Dealers will replace the air bag, free of charge.  Owner notification letters were mailed October 14, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 234.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V879000,21/11/2024,HYUNDAI,ELANTRA,2022,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,Hyundai Motor America
22V632000,18/08/2022,HYUNDAI,ELANTRA,2023,AIR BAGS:FRONTAL,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2022 Elantra N and 2022-2023 Elantra vehicles.  The emblem on the cover of the driver's front air bag may not have been welded properly, which can result in the emblem detaching upon deployment.","A detached air bag cover emblem may strike a vehicle occupant, which can increase the risk of injury.","Dealers will replace the air bag, free of charge.  Owner notification letters were mailed October 14, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 234.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V526000,27/07/2023,HYUNDAI,ELANTRA,2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V308000,01/05/2024,HYUNDAI,ELANTRA,2024,ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:GAS RECIRCULATION VALVE (EGR VALVE),False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024 Elantra, Venue, and Kona vehicles.  An electrical short circuit may occur in the exhaust gas recirculation (EGR) valve assembly, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will replace the exhaust gas recirculation valve assembly, free of charge.  Owner notification letters were mailed June 28, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 260.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
20V213000,09/04/2020,HYUNDAI,SONATA,2020,ELECTRICAL SYSTEM:SOFTWARE,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2020 Nexo and Sonata vehicles.  The Remote Smart Parking Assist (RSPA) software may fail to prevent vehicle movement upon detection of an RSPA system malfunction.,Unintended vehicle movement increases the risk of a crash.,"Hyundai will notify owners, and dealers will reprogram the RSPA software, free of charge.  The recall began June 3, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 191.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
20V122000,28/02/2020,HYUNDAI,SONATA,2020,EQUIPMENT:OTHER:LABELS,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020 Sonata vehicles produced between October 22, 2019 and February 13, 2020.  The tire pressure label inside the driver's door and the owner's manual state an incorrect tire size.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 110, ""Tire Selection and Rims.""","The incorrect tire information may mislead the vehicle owner to install the wrong tire size, potentially affecting vehicle handling,
increasing the risk of a crash.","Hyundai will notify owners, and dealers will install new label stickers over the tire pressure label and in the owner's manual, free of charge.  The recall began April 22, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 190.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
22V196000,28/03/2022,HYUNDAI,SONATA,2020,LATCHES/LOCKS/LINKAGES:TRUNK LID:LATCH,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020 Sonata and Sonata Hybrid, and 2019 Genesis G70 vehicles.  The trunk latch may become damaged, preventing the opening of the trunk from the inside.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 401, ""Internal Trunk Release.""","A person inside the trunk compartment may become trapped, increasing their risk of injury.","Dealers will inspect the trunk latch and replace the trunk latch base, as necessary, free of charge.  Owner notification letters were mailed May 26, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 221/010G.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V796000,18/11/2025,HYUNDAI,SONATA,2020,"FUEL SYSTEM, GASOLINE",False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2023 Sonata vehicles. A damaged check valve can allow air to enter the fuel tank, causing it to expand and contact hot exhaust components, melting the tank.","A melted fuel tank can leak, increasing the risk of a fire.","Dealers will inspect and replace the check valve. The fuel tank assembly will be inspected for damage and replaced if necessary. Additionally, dealers will inspect and update the engine control unit software. All repairs will be performed as necessary, free of charge. Owner notification letters were mailed beginning March 13, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 286. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 19, 2025.",,Hyundai Motor America
21V524000,09/07/2021,HYUNDAI,SONATA,2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V00M000,28/12/2021,HYUNDAI,SONATA,2021,VISIBILITY:WINDSHIELD,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V746000,06/10/2022,HYUNDAI,SONATA,2021,POWER TRAIN:AUTOMATIC TRANSMISSION,False,False,False,"Hyundai Motor Company (Hyundai) is recalling certain 2021-2022 Santa Fe, Sonata, Veloster N, 2022 Santa Cruz, Elantra N, and Kona N vehicles.  The vehicle's ""fail-safe"" limited-mobility drive mode may be impaired, when prompted by a transmission oil pump malfunction, which can result in a complete loss of drive power.",Loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the transmission, as necessary.  Dealers will also update the transmission control unit software.  All repairs will be performed free of charge.  Owner notification letters were mailed January 10, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V796000,18/11/2025,HYUNDAI,SONATA,2021,"FUEL SYSTEM, GASOLINE",False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2023 Sonata vehicles. A damaged check valve can allow air to enter the fuel tank, causing it to expand and contact hot exhaust components, melting the tank.","A melted fuel tank can leak, increasing the risk of a fire.","Dealers will inspect and replace the check valve. The fuel tank assembly will be inspected for damage and replaced if necessary. Additionally, dealers will inspect and update the engine control unit software. All repairs will be performed as necessary, free of charge. Owner notification letters were mailed beginning March 13, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 286. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 19, 2025.",,Hyundai Motor America
21V524000,09/07/2021,HYUNDAI,SONATA,2022,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V746000,06/10/2022,HYUNDAI,SONATA,2022,POWER TRAIN:AUTOMATIC TRANSMISSION,False,False,False,"Hyundai Motor Company (Hyundai) is recalling certain 2021-2022 Santa Fe, Sonata, Veloster N, 2022 Santa Cruz, Elantra N, and Kona N vehicles.  The vehicle's ""fail-safe"" limited-mobility drive mode may be impaired, when prompted by a transmission oil pump malfunction, which can result in a complete loss of drive power.",Loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the transmission, as necessary.  Dealers will also update the transmission control unit software.  All repairs will be performed free of charge.  Owner notification letters were mailed January 10, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V796000,18/11/2025,HYUNDAI,SONATA,2022,"FUEL SYSTEM, GASOLINE",False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2023 Sonata vehicles. A damaged check valve can allow air to enter the fuel tank, causing it to expand and contact hot exhaust components, melting the tank.","A melted fuel tank can leak, increasing the risk of a fire.","Dealers will inspect and replace the check valve. The fuel tank assembly will be inspected for damage and replaced if necessary. Additionally, dealers will inspect and update the engine control unit software. All repairs will be performed as necessary, free of charge. Owner notification letters were mailed beginning March 13, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 286. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 19, 2025.",,Hyundai Motor America
23V526000,27/07/2023,HYUNDAI,SONATA,2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V796000,18/11/2025,HYUNDAI,SONATA,2023,"FUEL SYSTEM, GASOLINE",False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2023 Sonata vehicles. A damaged check valve can allow air to enter the fuel tank, causing it to expand and contact hot exhaust components, melting the tank.","A melted fuel tank can leak, increasing the risk of a fire.","Dealers will inspect and replace the check valve. The fuel tank assembly will be inspected for damage and replaced if necessary. Additionally, dealers will inspect and update the engine control unit software. All repairs will be performed as necessary, free of charge. Owner notification letters were mailed beginning March 13, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 286. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 19, 2025.",,Hyundai Motor America
24V583000,07/08/2024,HYUNDAI,SONATA,2024,EXTERIOR LIGHTING:BRAKE LIGHTS,False,False,True,"Hyundai Motor America (Hyundai) is recalling certain 2024 Hyundai Sonata vehicles.  The software for the brake lights may cause the brake lights to flash and not illuminate properly.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Flashing brake lights may cause confusion for other drivers on the road, increasing the risk of a crash.","Dealers will update the rear brake light software, free of charge.  Additionally, Hyundai will release the software update over-the-air (OTA).  Owner notification letters were mailed September 12, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 267.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
20V543000,04/09/2020,HYUNDAI,TUCSON,2019,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",False,True,False,"Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
